T_wall_C,p_T2_Pa,mdot_he_kg_s,J_T2_mol_m2_s,J_sieverts_mol_m2_s,p_surf_over_p_bulk,K_eff_mol_m2_s_Pa,Re_tube,Lambda
3.600000000000000000e+02,3.000000000000000000e+00,1.000000000000000000e+00,1.657525792405010493e-10,1.657527892860132812e-10,9.999974655584371597e-01,2.180001329046787241e-05,3.279131731094549195e+03,9.960768217625888103e-07
3.600000000000000000e+02,3.000000000000000000e+00,2.000000000000000000e+00,1.657527219267761665e-10,1.657527892860132812e-10,9.999991872327008702e-01,6.797875279435928433e-05,6.558263462189098391e+03,9.960768217625888103e-07
3.600000000000000000e+02,1.000000000000000000e+01,1.000000000000000056e-01,3.026215149202591814e-10,3.026218055378336737e-10,9.999980793357938769e-01,1.575608656638806008e-05,3.279131731094550446e+02,5.455737442874224823e-07
3.600000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e-01,3.026215149202591814e-10,3.026218055378336737e-10,9.999980793357938769e-01,1.575608656638806008e-05,1.639565865547274598e+03,5.455737442874224823e-07
3.600000000000000000e+02,1.000000000000000000e+01,1.000000000000000000e+00,3.026215954922612903e-10,3.026218055378336737e-10,9.999986118283900050e-01,2.180001329046787241e-05,3.279131731094549195e+03,5.455737442874224823e-07
3.600000000000000000e+02,1.000000000000000000e+01,2.000000000000000000e+00,3.026217381785904068e-10,3.026218055378336737e-10,9.999995548289346559e-01,6.797875279435928433e-05,6.558263462189098391e+03,5.455737442874224823e-07
3.600000000000000000e+02,3.000000000000000000e+01,1.000000000000000056e-01,5.241560520521230785e-10,5.241563426697565591e-10,9.999988911035535555e-01,1.575608656638806008e-05,3.279131731094550446e+02,3.149871481271354840e-07
3.600000000000000000e+02,3.000000000000000000e+01,5.000000000000000000e-01,5.241560520521230785e-10,5.241563426697565591e-10,9.999988911035535555e-01,1.575608656638806008e-05,1.639565865547274598e+03,3.149871481271354840e-07
3.600000000000000000e+02,3.000000000000000000e+01,1.000000000000000000e+00,5.241561326241533632e-10,5.241563426697565591e-10,9.999991985385122684e-01,2.180001329046787241e-05,3.279131731094549195e+03,3.149871481271354840e-07
3.600000000000000000e+02,3.000000000000000000e+01,2.000000000000000000e+00,5.241562753105100869e-10,5.241563426697565591e-10,9.999997429803414439e-01,6.797875279435928433e-05,6.558263462189098391e+03,3.149871481271354840e-07
